,EDA,rise_time,max_deriv,amp,decay_time,SCR_width,AUC
2020-06-17 09:14:14.250,3.6179410000000005,4.0,0.20752838103042137,0.3792060000000008,2.125,4.125,1.5642247500000033
2020-06-17 09:14:36.000,4.132655000000001,4.0,0.4192754175294553,0.9451640000000006,,,
2020-06-17 09:14:58.125,3.7883265,3.5,0.17885732131154342,0.4189189999999998,,,
2020-06-17 09:15:22.250,3.4424300000000003,4.0,0.0747150158502734,0.18576000000000015,1.0,3.0,0.5572800000000004
2020-06-17 09:16:17.500,2.974908,3.875,0.04549638723288041,0.0992845,2.75,5.0,0.4964225
2020-06-17 09:16:42.500,2.969784,3.625,0.06834353339775845,0.1979295000000003,2.75,4.875,0.9649063125000015
2020-06-17 09:17:08.625,2.8980425,3.875,0.08886077332250153,0.19216450000000007,3.75,6.25,1.2010281250000006
2020-06-17 09:17:33.375,3.1049404999999997,4.0,0.18373121620978594,0.42340399999999967,3.75,5.875,2.4874984999999983
2020-06-17 09:17:46.500,2.898042,2.875,0.05941031871410374,0.08134949999999952,1.5,3.125,0.2542171874999985
2020-06-17 09:18:05.750,2.978752,4.0,0.1511934593987334,0.2344409999999999,1.75,3.75,0.8791537499999996
2020-06-17 09:19:07.375,3.0684285,2.0,0.18015037782350518,0.16782399999999997,1.5,3.125,0.5244499999999999
2020-06-17 09:19:23.250,4.1300930000000005,4.0,0.5605544133410874,1.3537550000000005,,,
2020-06-17 09:19:47.500,3.6179410000000005,2.375,0.37123818911096507,0.4323715000000008,2.625,4.25,1.8375788750000033
2020-06-17 09:20:09.625,3.566697,4.0,0.22306791477833698,0.47208549999999994,,,
2020-06-17 09:20:31.375,3.095252,1.75,0.07509707787691866,0.0506034999999998,0.75,2.125,0.10753243749999958
2020-06-17 09:20:52.625,3.085083,2.375,0.11725272516360974,0.16654299999999989,,,
2020-06-17 09:20:57.375,3.097254,2.0,0.07522183815075323,0.0723824999999998,0.875,2.5,0.18095624999999949
2020-06-17 09:21:43.875,3.0127005000000002,3.75,0.12621964172378597,0.25237599999999993,3.5,5.5,1.3880679999999996
2020-06-17 09:23:11.625,2.6911445,2.5,0.07502611597795195,0.08775500000000003,,,
