EpochNum,StartTime,EndTime,BinaryLabels,MulticlassLabels
364,2020-06-12 07:08:32,2020-06-12 07:08:37,1.0,1.0
365,2020-06-12 07:08:37,2020-06-12 07:08:42,1.0,1.0
366,2020-06-12 07:08:42,2020-06-12 07:08:47,1.0,1.0
367,2020-06-12 07:08:47,2020-06-12 07:08:52,1.0,1.0
368,2020-06-12 07:08:52,2020-06-12 07:08:57,1.0,1.0
369,2020-06-12 07:08:57,2020-06-12 07:09:02,1.0,1.0
370,2020-06-12 07:09:02,2020-06-12 07:09:07,1.0,1.0
371,2020-06-12 07:09:07,2020-06-12 07:09:12,1.0,1.0
372,2020-06-12 07:09:12,2020-06-12 07:09:17,1.0,1.0
373,2020-06-12 07:09:17,2020-06-12 07:09:22,1.0,1.0
374,2020-06-12 07:09:22,2020-06-12 07:09:27,1.0,1.0
375,2020-06-12 07:09:27,2020-06-12 07:09:32,1.0,1.0
376,2020-06-12 07:09:32,2020-06-12 07:09:37,1.0,1.0
377,2020-06-12 07:09:37,2020-06-12 07:09:42,1.0,1.0
378,2020-06-12 07:09:42,2020-06-12 07:09:47,1.0,1.0
379,2020-06-12 07:09:47,2020-06-12 07:09:52,1.0,1.0
380,2020-06-12 07:09:52,2020-06-12 07:09:57,1.0,1.0
381,2020-06-12 07:09:57,2020-06-12 07:10:02,1.0,1.0
